time,pos1,pos2,vel1,vel2,tau1,tau2
2.422498619556426718e+02,-4.407949950408180939e-01,2.073319600213618663e-01,-1.144373165646700885e+00,7.629154437644674047e-01,-8.000000000000005995e-01,9.084249084249054751e-02
2.422518620491027548e+02,-4.423208972304876752e-01,2.092393377584489123e-01,-7.629154437644674047e-01,9.536443047055840339e-01,-8.234432234432239595e-01,7.912087912087885366e-02
2.422538623809814169e+02,-4.446097505149921858e-01,2.107652399481185490e-01,-1.144236768368316337e+00,7.628245122455441507e-01,-8.000000000000005995e-01,9.670329670329637362e-02
2.422558624744414999e+02,-4.461356527046617670e-01,2.122911421377882135e-01,-7.629154437644674047e-01,7.629154437644674047e-01,-8.058608058608065505e-01,7.326007326007301368e-02
2.422578625679015829e+02,-4.480430304417488685e-01,2.134355687800404411e-01,-9.536443047055840339e-01,5.721865828233504425e-01,-7.941391941391948706e-01,7.326007326007301368e-02
2.422598626613616659e+02,-4.499504081788359144e-01,2.149614709697100778e-01,-9.536443047055840339e-01,7.629154437644674047e-01,-8.234432234432239595e-01,4.981684981684963986e-02
2.422618629932403280e+02,-4.514763103685056067e-01,2.161058976119623332e-01,-7.628245122455441507e-01,5.721183841841581685e-01,-8.351648351648356394e-01,3.223443223443211991e-02
2.422638630867004110e+02,-4.533836881055925416e-01,2.172503242542145330e-01,-9.536443047055840339e-01,5.721865828233504425e-01,-8.175824175824182305e-01,3.809523809523795990e-02
2.422658631801604940e+02,-4.549095902952622339e-01,2.187762264438841697e-01,-7.629154437644674047e-01,7.629154437644674047e-01,-8.175824175824182305e-01,2.637362637362627993e-02
2.422678632736205770e+02,-4.564354924849319262e-01,2.195391775387189603e-01,-7.629154437644674047e-01,3.814577218822335913e-01,-8.175824175824182305e-01,1.465201465201459996e-02
2.422698633670806601e+02,-4.579613946746015074e-01,2.206836041809711879e-01,-7.629154437644674047e-01,5.721865828233504425e-01,-8.527472527472531594e-01,8.791208791208759976e-03
2.422718634605407431e+02,-4.591058213168536795e-01,2.222095063706408524e-01,-5.721865828233504425e-01,7.629154437644674047e-01,-8.703296703296709014e-01,1.465201465201459996e-02
2.422738635540008261e+02,-4.610131990539407809e-01,2.225909819180582339e-01,-9.536443047055840339e-01,1.907288609411167957e-01,-8.234432234432239595e-01,1.465201465201459996e-02
2.422758636474609091e+02,-4.625391012436104177e-01,2.237354085603104892e-01,-7.629154437644674047e-01,5.721865828233504425e-01,-8.234432234432239595e-01,2.930402930402919992e-03
2.422778637409209921e+02,-4.636835278858625342e-01,2.244983596551452798e-01,-5.721865828233504425e-01,3.814577218822335913e-01,-8.234432234432239595e-01,-2.930402930402919992e-03
